Tested Number, Test Results
0123456789012, Invalid Credit Card Number
3456789012345, Invalid Credit Card Number
6789012345678, Invalid Credit Card Number
9012345678901, Invalid Credit Card Number
2345678901234, Invalid Credit Card Number
5678901234567, Invalid Credit Card Number
8901234567890, Valid Credit Card Number
01234567890123, Invalid Credit Card Number
45678901234567, Valid Credit Card Number
89012345678901, Invalid Credit Card Number
23456789012345, Invalid Credit Card Number
67890123456789, Invalid Credit Card Number
01234567890123, Invalid Credit Card Number
012345678901234, Invalid Credit Card Number
567890123456789, Invalid Credit Card Number
0123456789012345, Invalid Credit Card Number
6789012345678901, Invalid Credit Card Number
2345678901234567, Invalid Credit Card Number
8901234567890123, Invalid Credit Card Number
4567890123456789, Invalid Credit Card Number
49927398716, Valid Credit Card Number
49927398717, Invalid Credit Card Number
1234567812345678, Invalid Credit Card Number
1234567812345670, Valid Credit Card Number
